aggr5_0_score,aggr5_10_multiple_score,aggr5_10_single_score,aggr5_15_multiple_score,aggr5_15_single_score,aggr5_20_multiple_score,aggr5_20_single_score,aggr5_5_multiple_score,aggr5_5_single_score,aggr5_augmented_score,aggr7_0_score,aggr7_10_multiple_score,aggr7_10_single_score,aggr7_15_multiple_score,aggr7_15_single_score,aggr7_20_multiple_score,aggr7_20_single_score,aggr7_5_multiple_score,aggr7_5_single_score
0.513,0.387,0.000,0.000,0.367,0.000,0.367,0.540,0.333,0.541,0.000,0.474,0.538,0.000,0.000,0.396,0.000,0.000,0.396
0.560,0.000,0.000,0.000,0.000,0.000,0.387,0.598,0.000,0.425,0.605,0.000,0.406,0.406,0.367,0.000,0.000,0.000,0.575
0.333,0.000,0.392,0.545,0.720,0.000,0.000,0.580,0.000,0.000,0.000,0.000,0.000,0.459,0.605,0.000,0.640,0.000,0.000
0.000,0.000,0.000,0.000,0.333,0.000,0.524,0.000,0.406,0.406,0.000,0.000,0.000,0.387,0.000,0.000,0.000,0.000,0.000
0.000,0.406,0.000,0.000,0.000,0.000,0.295,0.000,0.406,0.000,0.000,0.000,0.584,0.000,0.333,0.000,0.580,0.505,0.000
0.000,0.445,0.445,0.538,0.387,0.000,0.387,0.313,0.406,0.505,0.605,0.645,0.000,0.000,0.000,0.294,0.392,0.000,0.520
0.425,0.000,0.333,0.538,0.333,0.000,0.396,0.682,0.416,0.333,0.000,0.682,0.485,0.682,0.000,0.000,0.406,0.525,0.000
0.367,0.000,0.000,0.406,0.000,0.000,0.294,0.352,0.000,0.000,0.294,0.580,0.406,0.000,0.672,0.000,0.660,0.406,0.352
0.645,0.333,0.392,0.392,0.392,0.392,0.333,0.314,0.392,0.000,0.000,0.000,0.406,0.000,0.333,0.000,0.406,0.660,0.540
0.000,0.560,0.000,0.682,0.000,0.387,0.000,0.000,0.000,0.522,0.000,0.313,0.000,0.333,0.605,0.000,0.000,0.367,0.000
0.505,0.000,0.000,0.477,0.593,0.682,0.445,0.333,0.000,0.655,0.000,0.000,0.000,0.406,0.000,0.000,0.000,0.605,0.000
0.225,0.559,0.333,0.000,0.000,0.406,0.000,0.640,0.000,0.000,0.000,0.557,0.387,0.000,0.000,0.000,0.416,0.491,0.333
0.672,0.000,0.000,0.500,0.367,0.584,0.000,0.000,0.000,0.000,0.000,0.225,0.333,0.491,0.000,0.000,0.672,0.000,0.480
0.406,0.000,0.532,0.392,0.000,0.406,0.406,0.367,0.416,0.406,0.000,0.593,0.000,0.000,0.000,0.000,0.333,0.000,0.000
0.480,0.406,0.000,0.000,0.445,0.333,0.455,0.445,0.000,0.392,0.000,0.645,0.505,0.000,0.000,0.000,0.000,0.593,0.000
0.333,0.000,0.459,0.392,0.000,0.000,0.000,0.515,0.703,0.367,0.000,0.000,0.000,0.000,0.000,0.491,0.559,0.000,0.000
